"Year","Month","Day","00:00","00:30","01:00","01:30","02:00","02:30","03:00","03:30","04:00","04:30","05:00","05:30","06:00","06:30","07:00","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30","21:00","21:30","22:00","22:30","23:00","23:30"
2015,7,1,5273.44102442463,5133.09182078547,4994.50558058107,4873.60589221194,4831.39614423763,5140.32917415449,5159.06664984519,4810.42456838986,4839.72844127197,4924.00706214767,5081.9100058603,5268.67166411026,5595.79599909345,5839.6322896641,6025.14636693213,6095.92841130653,6067.18076238584,5992.83540947426,5921.66923608095,5826.16949018665,5769.994183884,5693.51276696312,5595.18809093793,5556.78046883734,5583.53255826332,5610.31203838779,5682.34389844163,5715.09901708449,5811.51369438189,5845.53372224346,5913.82662462223,6087.26104360822,6335.48429820214,6592.73520447471,6844.41448762684,6995.44929881234,6981.96764184844,6917.4207133553,6779.7035055341,6755.39533482129,6695.28813199835,6526.2702605441,6409.66477471352,6289.85356680154,6122.59561825295,5963.10261731195,5825.94773084139,5674.72098476345
2015,7,2,5888.685259286,5728.94481580579,5582.30103370346,5454.20718675014,5365.45113357882,5313.98077906599,5269.51829426525,5254.97871321918,5301.12635189638,5403.62617315805,5659.74217036176,5951.86737275983,6418.08765579846,6748.82624331757,6851.50240444069,6748.41796960255,6537.86048597158,6248.36018073136,5936.48996232994,5641.16336154326,5391.86374777688,5210.44533679796,5083.18863049078,5003.71945304961,4971.49116461519,4959.93348982638,5033.1102433814,5103.39378308472,5258.96042223601,5396.58894504841,5625.4493614855,5888.54089785639,6339.05280334305,6767.89160765078,7292.13790469218,7667.36526659351,7734.09473723146,7789.14131,7683.76171309552,7655.30200392849,7641.32962453577,7485.31303206835,7272.07080164854,7015.2474647669,6734.37817574621,6494.12148635371,6290.62369252595,6134.06728987152
2015,7,3,5667.6204439624,5515.39275651996,5341.83679003003,5196.94213445568,5056.19940921193,4980.86144961058,4942.25209334903,4956.59905475223,5026.44392314227,5147.15900094863,5354.62373384507,5636.6622345891,6029.46233383695,6324.91582743808,6460.12857098127,6374.39894110848,6111.53379561835,5820.89453731445,5506.76060706797,5202.84416047899,4928.46740597173,4730.77112564524,4578.9406328068,4481.02644394346,4459.45109026731,4440.93135429661,4492.03219222999,4581.70495086823,4701.27436026265,4870.41654492918,5144.23510492628,5413.22436743761,5797.68656544635,6198.2099593457,6619.27887818703,6981.98711139671,7063.00864207415,7126.60843738344,7063.75152612119,7032.08084195859,7029.17878133244,6891.96622902488,6698.35947594189,6512.64738622135,6262.69269552028,6055.3109035408,5879.65388212045,5706.72446888279
2015,7,4,5535.83692563967,5394.29993270699,5232.64194709949,5089.03175725333,4994.85093366117,4923.00230868449,4889.63070399071,4865.80075855891,4948.29929197871,5076.070385729,5298.36806668622,5554.4958282224,5944.14035212214,6272.78678825171,6409.50965193963,6351.68675495689,6092.12180734117,5853.74214591541,5562.89410359115,5274.4993435919,5033.97259122641,4922.26501288884,4808.26799146275,4747.91523045879,4709.26252802429,4674.16997070613,4738.88631926264,4850.12552984509,5042.59257418943,5185.45466178619,5429.08482809436,5600.42629750673,5953.78727976181,6286.06418679884,6606.79558260637,6861.06143741195,6931.40030722821,6970.14303772074,6894.30573667062,6863.09365912455,6860.45503961621,6699.03282203419,6490.4022915553,6318.87394812472,6146.54388461334,5959.03928671384,5820.23340039379,5636.07484391914
2015,7,5,5482.47035093242,5331.17135375618,5182.63316993363,5063.65806240834,4968.05284577111,4918.02588586523,4879.58555590282,4898.0980318802,4944.08434860168,5045.11669292821,5231.43345971436,5466.03966863455,5800.11594444628,6086.54855133432,6173.52320237962,6170.51017830255,5992.56072034232,5802.36365660225,5588.31242544648,5367.31114235955,5119.28617028605,4971.70716335198,4911.29488105262,4911.79427602504,4940.41853163114,4958.27900818417,5059.80073154941,5128.56008729341,5293.35711477301,5411.22458483494,5553.52644528741,5713.75616208246,5973.63506283411,6251.55480228901,6516.38237293068,6677.64733986495,6685.55618380783,6687.1945473323,6572.93780207862,6585.305208392,6580.16354549498,6482.91265338682,6325.26235858753,6194.98111886886,5804.26598079741,5832.45725102665,5813.1448418025,5669.19482676228
2015,7,6,5504.70234468633,5341.88174910794,5159.9845357001,4998.59387420886,4932.51752249577,4889.65747822125,4850.72636903065,4813.63103021387,5163.81299966766,4852.99769997352,4925.97279916058,5022.52036293977,5125.87082277899,5201.61231759462,5172.94798225539,5149.81348453709,5082.42248779737,4978.03748083181,4792.03334374409,4632.10854397545,4454.94291154791,4320.58920795683,4219.69512897444,4764.47300479805,4720.53802806049,4779.35640008741,4259.870578142,4351.77548682778,4521.02502398452,4644.5656169517,4826.61108475416,5054.86522540545,5390.09162901965,5727.31821512259,6030.73780707213,6232.71559636278,6293.55831067093,6298.45176915181,6215.66613887432,6192.66308821611,6206.62311953666,6110.82374182601,6006.14469697846,5958.20550013994,5834.06151030745,5721.88949506562,5652.16492807101,5549.8388877231
2015,7,7,5414.36240918996,5260.57747989176,5121.21916637826,4951.95849412767,4866.95263396288,4846.1841002708,4807.34815313425,5158.43067001142,4824.70956402142,4840.74009117848,4886.69836818443,4936.66653139619,5012.79152363226,5077.98693378529,5035.02201896613,4963.51590022636,4849.52786592877,4739.88637707231,4603.54848472768,4444.697165337,4249.27663216117,4662.64721861963,4529.44004672627,4465.75743570157,4441.58151010469,4486.06755185146,4528.63062423782,4639.37515750012,4213.00141558342,4380.02817647146,4644.44851985698,4941.74374594803,5393.17024425398,5849.88263475037,6272.53479051986,6588.49676675152,6701.80518580963,6714.49906252558,6622.71583807652,6591.69398252183,6598.48312847522,6500.97985202281,6377.8155754076,6194.12001403154,6030.26802110354,5913.30362358642,5777.84599841342,5592.58406699535
2015,7,8,5736.23075808711,5609.69700614337,5447.24499071714,5276.56626016403,5194.18100947956,5125.8301134628,5124.03659448399,5127.51010143008,5220.57117650703,5339.47937815731,5547.48991098971,5833.75960966286,6233.47572209249,6566.98026823611,6669.20912574718,6607.36585923966,6398.62797736739,6110.17704927365,5835.68117117423,5572.24308229209,5343.0765662244,5154.25672592933,5032.46723830061,4942.10307627702,4950.84587709164,4933.44458403603,4982.01894082663,5066.06601486787,5189.09692841311,5364.98750985283,5606.47126410014,5854.46965337245,6225.51906431332,6636.19726483826,7159.61270675516,7551.0239808887,7632.84019328032,7646.6868788068,7541.14193258779,7498.58189802408,7489.06575157592,7350.07352339031,7176.24651028478,6980.34683232965,6693.93640591367,6493.6120387605,6336.2855294536,6132.33471573993
2015,7,9,5934.79147330455,5784.25743492815,5604.85636284185,5440.98156870366,5346.78296835742,5308.4278158751,5293.94124114354,5250.10518245246,5309.64464221402,5453.61700511027,5680.42523335312,5969.73914526458,6396.17758342861,6755.27043754512,6883.64757366404,6795.97912281641,6529.35799206238,6243.56897468167,5877.8740990257,5567.12120411032,5309.00850876882,5104.19208559327,4971.44341231686,4886.03528880153,4893.30455450731,4891.02720979927,4923.4752947898,4986.50141048919,5126.13711798438,5279.26438290661,5508.88146362378,5763.07020883161,6129.8500028251,6554.76712874047,7035.31907549096,7435.04315703736,7510.12082763015,7581.35642545762,7513.87973746137,7480.84151412283,7493.86159205557,7357.88302386609,7154.35591326661,6915.59277655676,6648.71397461569,6445.71908758691,6311.54021366803,6108.11433795456
2015,7,10,5881.56853395676,5731.58097214304,5573.72863075925,5428.57804082799,5331.91778658632,5249.58629253782,5234.56878453828,5250.26365715782,5326.47750988688,5438.50465054465,5703.36285362453,6026.11987600236,6474.52815401105,6810.7936463332,6961.65526880299,6919.30557867726,6673.92530576016,6348.83852444731,5990.78138525143,5685.57809714539,5342.67493141413,5142.18428512616,5014.9641221109,4974.97724492983,4930.68319986404,4876.17255655619,4923.99237075966,5006.82997003149,5175.57918375996,5312.53867923421,5595.71721931946,5859.56405738168,6228.34446281759,6567.83351325599,6955.55848075715,7279.65765054738,7353.61078120052,7405.3461248665,7315.92131798911,7300.76349157863,7261.76879677037,7118.48992002186,6966.2311341768,6813.77529925757,6609.85898176946,6438.63854254352,6279.64130501286,6065.10012966195
